Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	2	1	0	1	8	486	800	[478,794,492,811]					1	2747	1446	174	0.950534	0.5547	
1	2	1	0	2	1	1183	50	[1167,38,1195,64]					1	2717	2820	596	0.925496	0.712276	
1	2	1	0	2	2	719	394	[710,386,727,406]					1	3119	1436	270	0.995435	0.717532	
1	2	1	0	2	3	204	396	[195,387,214,405]					1	1980	1707	301	0.973402	0.821197	
1	2	1	0	3	1	895	34	[888,28,901,43]					1	1237	1524	173	0.94714	0.693778	
1	2	1	0	3	2	457	93	[441,81,477,107]					1	1014	2527	577	0.804582	0.462147	
1	2	1	0	3	3	1030	234	[999,207,1048,270]					2	3375	3016	1848	0.658265	0.391368	
1	2	1	0	3	4	112	252	[100,239,126,266]					1	3383	2956	539	0.995829	0.818096	
1	2	1	0	3	5	792	289	[744,259,840,309]					1	5574	1559	2497	0.61289	0.374281	
1	2	1	0	3	6	131	566	[109,554,161,580]					1	2440	1489	881	0.823981	0.44779	
1	2	1	0	4	1	1245	276	[1235,266,1257,287]					1	3492	1478	365	0.970493	0.818161	
1	2	1	0	4	2	1320	530	[1286,495,1336,559]					1	4601	1528	982	0.578866	0.258096	
1	2	1	0	4	3	1110	632	[1103,627,1118,639]					1	895	2356	148	0.883659	0.666667	
1	2	1	0	4	4	722	729	[701,710,739,748]					1	3076	1523	959	0.923482	0.668516	
1	2	1	0	4	5	1190	749	[1167,729,1214,774]					1	4743	1567	1223	0.880945	0.700924	
1	2	1	0	4	6	603	819	[584,806,622,831]					4	9796	5614	613	0.915736	0.570197	
1	2	1	0	4	7	1289	846	[1279,833,1298,856]					1	3328	1442	324	0.919649	0.673125	
1	2	1	0	4	8	941	968	[933,960,950,977]					1	5546	1439	213	0.970322	0.787839	
1	2	1	0	5	1	849	121	[837,109,862,134]					1	2511	1481	411	0.935861	0.657596	
1	2	1	0	5	2	197	265	[176,256,206,282]					1	1978	1445	372	0.643913	0.415987	
1	2	1	0	5	3	123	361	[95,335,180,391]					1	4141	1565	3077	0.796093	0.561497	
1	2	1	0	5	4	1090	432	[1052,402,1123,477]					4	13796	7445	3658	0.80098	0.474509	
1	2	1	0	5	5	816	506	[786,492,837,542]					4	11564	5742	2029	0.850939	0.618201	
1	2	1	0	5	6	51	554	[22,527,81,580]					1	3502	1498	1920	0.783376	0.706274	
1	2	1	0	5	7	354	553	[338,533,370,573]					1	2201	2044	858	0.914847	0.624426	
1	2	1	0	5	8	1021	732	[1000,709,1048,756]					3	12078	4523	1623	0.85357	0.510933	
1	2	1	0	5	9	1281	843	[1271,834,1291,856]					1	2548	1454	341	0.968633	0.723241	
1	2	1	0	5	10	174	999	[156,984,190,1015]					2	4180	3660	763	0.909425	0.531945	
1	2	1	0	6	1	1169	340	[1161,331,1178,349]					1	3200	2725	242	0.973994	0.760286	
